STATEFIPS,STATE,zipcode,Low_income,Total_Pop
36,NY,12577,28.71,1010
36,NY,12578,29.2,1130
36,NY,12580,29.19,1850
36,NY,12581,27.72,1010
36,NY,12582,24.78,2300
36,NY,12583,32.71,1070
36,NY,12585,27.27,440
36,NY,12586,33.39,6200
36,NY,12590,29.27,18520
36,NY,12592,30.91,550
36,NY,12594,33.67,1960
36,NY,12601,41.71,17980
36,NY,12603,29.35,20990
36,NY,12729,37.5,800
36,NY,12746,37.5,560
36,NY,12771,40.22,6290
36,NY,12780,34.55,1100
