Loading projection matrices.
Loading images.
Loading silhouettes.
Creating camera objects.
Creating voxel grid.
Processing voxels.
Creating PLY file.
Determining point colors.
Done.
         10027682 function calls (10003032 primitive calls) in 11.618 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    171/1    0.000    0.000    0.035    0.035 context.py:415(_load_builtins)
       38    0.000    0.000    0.035    0.001 __init__.py:340(__init__)
       37    0.034    0.001    0.034    0.001 {built-in method _ctypes.LoadLibrary}
  1710/10    0.003    0.000    0.034    0.003 context.py:428(install_registry)
    12025    0.004    0.000    0.033    0.000 libmpf.py:797(mpf_sub)
        1    0.000    0.000    0.033    0.033 subprocess.py:1105(communicate)
    11858    0.006    0.000    0.033    0.000 numbers.py:677(__float__)
    11856    0.007    0.000    0.033    0.000 defmatrix.py:36(asmatrix)
       89    0.001    0.000    0.033    0.000 std.py:1212(update)
        1    0.033    0.033    0.033    0.033 {method 'read' of '_io.TextIOWrapper' objects}
      170    0.000    0.000    0.031    0.000 templates.py:1051(__init__)
      833    0.002    0.000    0.031    0.000 extending.py:127(decorate)
    70082    0.030    0.000    0.030    0.000 libmpf.py:153(_normalize)
      166    0.000    0.000    0.030    0.000 templates.py:1097(_init_once)
        3    0.000    0.000    0.030    0.010 base.py:1(<module>)
   366012    0.030    0.000    0.030    0.000 numeric.py:2381(_array_equal_dispatcher)
        1    0.000    0.000    0.030    0.030 callconv.py:1(<module>)
      170    0.000    0.000    0.029    0.000 templates.py:907(_get_target_registry)
      221    0.001    0.000    0.029    0.000 function.py:161(__init__)
      103    0.001    0.000    0.029    0.000 std.py:560(__new__)
        1    0.005    0.005    0.028    0.028 facts.py:134(apply_beta_to_alpha_route)
        1    0.000    0.000    0.028    0.028 partfrac.py:1(<module>)
        1    0.000    0.000    0.028    0.028 decorator.py:60(xthreaded)
        1    0.000    0.000    0.028    0.028 decorator.py:11(threaded_factory)
       44    0.000    0.000    0.027    0.001 dispatcher.py:807(__init__)
        2    0.000    0.000    0.027    0.013 special.py:1(<module>)
    71160    0.022    0.000    0.027    0.000 defmatrix.py:167(__array_finalize__)
    11872    0.009    0.000    0.026    0.000 defmatrix.py:115(__new__)
      685    0.001    0.000    0.026    0.000 utils.py:333(disp_len)
      195    0.001    0.000    0.026    0.000 std.py:1164(__str__)
        5    0.000    0.000    0.026    0.005 context.py:1(<module>)
      295    0.000    0.000    0.026    0.000 std.py:342(fp_write)
     2004    0.005    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      148    0.000    0.000    0.025    0.000 sre_parse.py:939(parse)
        8    0.000    0.000    0.025    0.003 Camera.py:11(__init__)
     1394    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
  797/796    0.020    0.000    0.025    0.000 ffi.py:149(__call__)
      685    0.001    0.000    0.025    0.000 utils.py:329(_text_width)
      103    0.000    0.000    0.025    0.000 std.py:657(get_lock)
        1    0.000    0.000    0.025    0.025 std.py:92(__init__)
        1    0.000    0.000    0.025    0.025 std.py:118(create_mp_lock)
  506/148    0.001    0.000    0.025    0.000 sre_parse.py:435(_parse_sub)
73602/73190    0.016    0.000    0.025    0.000 {built-in method builtins.getattr}
      686    0.006    0.000    0.024    0.000 {built-in method builtins.sum}
      195    0.004    0.000    0.024    0.000 std.py:355(format_meter)
  703/159    0.009    0.000    0.024    0.000 sre_parse.py:493(_parse)
     1283    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     1081    0.003    0.000    0.024    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
    15906    0.008    0.000    0.024    0.000 sympify.py:67(_is_numpy_instance)
      214    0.000    0.000    0.024    0.000 registry.py:38(target_context)
      3/2    0.000    0.000    0.024    0.012 functools.py:961(__get__)
        1    0.000    0.000    0.023    0.023 registry.py:28(_toplevel_target_context)
        1    0.000    0.000    0.023    0.023 cpu.py:40(__init__)
        1    0.000    0.000    0.023    0.023 base.py:233(__init__)
     3976    0.005    0.000    0.023    0.000 numbers.py:1279(__add__)
        1    0.000    0.000    0.023    0.023 requirements.py:1(<module>)
        1    0.000    0.000    0.023    0.023 polytools.py:1(<module>)
        1    0.000    0.000    0.023    0.023 context.py:70(RLock)
      833    0.015    0.000    0.023    0.000 templates.py:887(make_overload_template)
        2    0.000    0.000    0.023    0.011 random.py:1(<module>)
        1    0.000    0.000    0.023    0.023 parfor_lowering.py:1(<module>)
        1    0.000    0.000    0.022    0.022 point.py:1(<module>)
        1    0.000    0.000    0.022    0.022 entity.py:1(<module>)
     2971    0.022    0.000    0.022    0.000 {method 'read' of '_io.BufferedReader' objects}
      2/1    0.000    0.000    0.021    0.021 compiler_lock.py:32(_acquire_compile_lock)
        1    0.000    0.000    0.021    0.021 cpu.py:47(init)
        1    0.000    0.000    0.021    0.021 parfor.py:1(<module>)
        2    0.000    0.000    0.021    0.011 __init__.py:3220(_call_aside)
        1    0.000    0.000    0.021    0.021 __init__.py:3246(_initialize_master_working_set)
        1    0.000    0.000    0.021    0.021 _pickle.py:1(<module>)
    45273    0.021    0.000    0.021    0.000 {built-in method __new__ of type object at 0x00007FFAE5959920}
       85    0.000    0.000    0.021    0.000 conflict.py:56(ordering)
        1    0.000    0.000    0.020    0.020 iterables.py:1(<module>)
    13496    0.007    0.000    0.020    0.000 facts.py:204(<genexpr>)
        1    0.000    0.000    0.020    0.020 expr.py:1(<module>)
    55/47    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
    55/47    0.004    0.000    0.020    0.000 {built-in method _imp.exec_dynamic}
      200    0.000    0.000    0.020    0.000 ansitowin32.py:199(convert_ansi)
       34    0.000    0.000    0.020    0.001 core.py:58(_)
        1    0.000    0.000    0.020    0.020 _sketches.py:1(<module>)
        1    0.000    0.000    0.019    0.019 decorator.py:1(<module>)
       16    0.000    0.000    0.019    0.001 __init__.py:607(add_entry)
53689/53497    0.009    0.000    0.019    0.000 {built-in method builtins.hasattr}
        8    0.000    0.000    0.019    0.002 matrices.py:353(nullspace)
        8    0.000    0.000    0.019    0.002 subspaces.py:38(_nullspace)
       84    0.000    0.000    0.019    0.000 __init__.py:2052(find_on_path)
      200    0.001    0.000    0.019    0.000 ansitowin32.py:223(call_win32)
     1003    0.019    0.000    0.019    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.019    0.019 constructor.py:1(<module>)
        1    0.000    0.000    0.018    0.018 runtests.py:1(<module>)
        5    0.000    0.000    0.018    0.004 __init__.py:51(create_module)
        5    0.000    0.000    0.018    0.004 __init__.py:29(load_module)
     1963    0.001    0.000    0.018    0.000 abc.py:105(__new__)
      200    0.001    0.000    0.018    0.000 winterm.py:103(cursor_adjust)
    11856    0.004    0.000    0.018    0.000 numbers.py:1222(_as_mpf_val)
        8    0.000    0.000    0.018    0.002 matrices.py:173(rref)
        2    0.000    0.000    0.018    0.009 rules.py:1(<module>)
        8    0.000    0.000    0.018    0.002 reductions.py:248(_rref)
        8    0.000    0.000    0.018    0.002 reductions.py:124(_row_reduce)
    94658    0.013    0.000    0.018    0.000 utils.py:330(<genexpr>)
       42    0.000    0.000    0.018    0.000 dispatcher.py:147(_)
        1    0.000    0.000    0.018    0.018 nrt.py:19(initialize)
    32363    0.013    0.000    0.018    0.000 basic.py:121(__new__)
        1    0.000    0.000    0.018    0.018 charseq.py:1(<module>)
        1    0.000    0.000    0.017    0.017 npydecl.py:1(<module>)
        1    0.000    0.000    0.017    0.017 nrtdynmod.py:205(compile_nrt_functions)
      171    0.001    0.000    0.017    0.000 context.py:700(load_additional_registries)
        1    0.000    0.000    0.017    0.017 products.py:1(<module>)
        1    0.000    0.000    0.017    0.017 ctx_fp.py:1(<module>)
        8    0.000    0.000    0.017    0.002 reductions.py:10(_row_reduce_list)
     1002    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        1    0.000    0.000    0.017    0.017 rules.py:15(_init_casting_rules)
    11872    0.017    0.000    0.017    0.000 {built-in method _warnings.warn}
       44    0.000    0.000    0.017    0.000 castgraph.py:119(insert_rule)
        1    0.000    0.000    0.017    0.017 mul.py:1(<module>)
       44    0.004    0.000    0.016    0.000 castgraph.py:92(propagate)
     2059    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:391(cached)
       85    0.000    0.000    0.016    0.000 conflict.py:24(ambiguities)
        1    0.000    0.000    0.016    0.016 summations.py:1(<module>)
       85    0.003    0.000    0.016    0.000 conflict.py:27(<setcomp>)
        1    0.000    0.000    0.016    0.016 ctx_base.py:1(<module>)
      178    0.000    0.000    0.016    0.000 overload_glue.py:128(_build)
    33273    0.009    0.000    0.016    0.000 libintmath.py:91(python_bitcount)
        1    0.000    0.000    0.016    0.016 gosper.py:1(<module>)
     3994    0.004    0.000    0.015    0.000 numbers.py:1274(__neg__)
     1057    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
        1    0.000    0.000    0.015    0.015 rings.py:1(<module>)
    15808    0.009    0.000    0.015    0.000 libmpf.py:64(dps_to_prec)
        1    0.000    0.000    0.014    0.014 immutable.py:1(<module>)
        1    0.000    0.000    0.014    0.014 ir_utils.py:1(<module>)
       89    0.000    0.000    0.014    0.000 overload_glue.py:240(glue_typing)
      316    0.001    0.000    0.014    0.000 overrides.py:183(decorator)
      173    0.000    0.000    0.014    0.000 overload_glue.py:197(__call__)
       89    0.000    0.000    0.014    0.000 overload_glue.py:18(__init__)
      148    0.000    0.000    0.013    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.013    0.013 unicode.py:1(<module>)
       85    0.002    0.000    0.013    0.000 conflict.py:62(<listcomp>)
        1    0.000    0.000    0.013    0.013 pyparsing.py:1(<module>)
     1368    0.002    0.000    0.013    0.000 base.py:360(install_registry)
        1    0.000    0.000    0.012    0.012 intersection.py:1(<module>)
24197/24125    0.007    0.000    0.012    0.000 logic.py:404(__new__)
    15533    0.003    0.000    0.012    0.000 templates.py:1307(new_registrations)
        1    0.000    0.000    0.012    0.012 codegen.py:740(finalize)
        1    0.000    0.000    0.012    0.012 facts.py:94(deduce_alpha_implications)
        1    0.000    0.000    0.012    0.012 minpoly.py:1(<module>)
1891/1886    0.002    0.000    0.012    0.000 abstract.py:60(__call__)
     4736    0.010    0.000    0.012    0.000 VoxelGrid.py:52(set_voxel)
        1    0.000    0.000    0.012    0.012 exponential.py:1(<module>)
      195    0.000    0.000    0.011    0.000 utils.py:341(disp_trim)
       24    0.000    0.000    0.011    0.000 castgraph.py:131(unsafe)
        1    0.000    0.000    0.011    0.011 rootoftools.py:1(<module>)
     5598    0.001    0.000    0.011    0.000 conflict.py:19(ambiguous)
        2    0.000    0.000    0.011    0.006 extending.py:1(<module>)
      317    0.005    0.000    0.011    0.000 facts.py:499(deduce_all_facts)
        1    0.004    0.004    0.011    0.011 facts.py:74(transitive_closure)
 1233/148    0.004    0.000    0.011    0.000 sre_compile.py:71(_compile)
    12018    0.003    0.000    0.011    0.000 conflict.py:43(edge)
    27027    0.005    0.000    0.011    0.000 {built-in method builtins.all}
      350    0.000    0.000    0.010    0.000 inspect.py:3245(signature)
        1    0.000    0.000    0.010    0.010 __init__.py:565(_build_master)
      350    0.000    0.000    0.010    0.000 inspect.py:2991(from_callable)
        1    0.000    0.000    0.010    0.010 __init__.py:552(__init__)
     4096    0.002    0.000    0.010    0.000 numbers.py:673(_as_mpf_op)
    12/10    0.000    0.000    0.010    0.001 __init__.py:108(import_module)
    12/10    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap>:1038(_gcd_import)
13966/13954    0.002    0.000    0.010    0.000 {built-in method builtins.next}
      5/3    0.000    0.000    0.010    0.003 __init__.py:10(__getattr__)
  571/350    0.002    0.000    0.010    0.000 inspect.py:2371(_signature_from_callable)
  339/319    0.000    0.000    0.010    0.000 {built-in method builtins.sorted}
        2    0.000    0.000    0.010    0.005 codegen.py:782(_finalize_final_module)
      116    0.000    0.000    0.010    0.000 assumptions.py:477(getit)
        1    0.000    0.000    0.010    0.010 multiarray.py:1(<module>)
    37907    0.007    0.000    0.010    0.000 {built-in method builtins.max}
      329    0.010    0.000    0.010    0.000 {built-in method builtins.compile}
